formula,id,band_gap,formation_energy,energy_above_hull
Cs3Nd(MoO4)3,mp-573369,3.7419,-2.4148180804718695,0.0
Ba(PdS2)2,mp-28967,0.7791999999999999,-1.1240792407142866,0.0
Na7Ta3Zn(SiO4)6,mp-2712904,2.5286,-2.9123542678452483,0.049678254959348855
TiZnBiO5,mp-1042447,0.0,-2.2363841610416673,0.07777690812499483
Na2YNb3Si4(SO12)2,mp-2715697,1.8105,-2.8370486812340348,0.07983157878637925
NbO2F,mp-766094,2.8979999999999997,-3.0991740012499998,0.06686796812500084
MgH12(BrO3)2,mp-1190888,4.3514,-1.3827955154761895,0.0016827636507894539
Y2MgSe4,mp-1232187,1.8931,-1.8680947084821429,0.09757424571428608
DyBi2IO4,mp-546266,1.3667999999999996,-2.3423211002083333,0.0
Cr5S8,mp-1181961,0.0,-0.978128128461538,0.0
Li4Co3NiO8,mp-1293179,0.0,-1.6248705773958338,0.06446223218749925
FePO4,mp-559295,2.6721000000000004,-2.3228269788988087,0.025890503124998965
Ba(AlSi)2,mp-12863,0.0,-0.26338734299999944,0.006000129000000243
NaBi5O8,mp-756721,2.2792,-1.6474014465270892,0.030629161785717507
LuH6(ClO5)3,mp-757220,5.3849,-1.0988220916666671,0.0
Nb2CuCS2,mp-1220693,0.0,-0.8439024887500004,0.04798092927083264
YHgB,mp-1100402,0.35630000000000006,-0.12020565395834144,0.4684993066666614
Mg2CdRh,mp-1097393,0.0,1.5426283625000008,1.8440065625000002
YZr5O11,mp-753842,0.2273000000000005,-3.676306111073534,0.08564731969116046
Li2Ti2VO6,mp-758843,0.2702,-2.924048298939393,0.07722378318182344
Sr(AsS2)2,mp-36577,1.7211999999999998,-0.7661003587499989,0.03799723535714428
Ce(IO3)3,mp-1193742,0.5691999999999999,-1.3264964167307696,0.17710911273076402
Al5CuW2,mp-1228126,0.0,-0.1690238519999987,0.005097319499999031
MgMn6O7F5,mp-2230315,0.40190000000000015,-2.3901293251361166,0.11820808951753925
KAgTeS3,mp-1211732,1.6838000000000002,-0.6376888234305541,0.04000195705092313
Ti8Cu3Ni,mp-1217065,0.0,-0.16076476138889007,0.0
Na8Ca2Sc2Si3(SO8)3,mp-2715035,2.3594000000000004,-2.6770695213936793,0.10701978360119124
Mn2VO4,mp-531351,0.0024999999999995026,-2.1968339035160107,0.04324379589284888
Zr4Pd2N,mp-1194130,0.0,-0.9769099839285705,0.0
ThIn,mp-1187887,0.0,-0.3858653650000008,0.014044311785710306
NaLaH2S2O9,mp-557508,4.6572000000000005,-2.2901077254252855,0.0
TmMn2,mp-30786,0.0,0.016959135545973208,0.033991375615940456
Na9Cu2O7,mp-777853,0.0,-1.2595003227777777,0.08259975069444447
KNdTiSnO6,mp-1522241,2.8321000000000005,-2.846539154808332,0.1629494587500009
LaZnFeMoO6,mp-1044082,1.7031999999999998,-2.3099378280000002,0.07858982250000679
BPb3O4F,mp-1201056,2.3654,-2.0816125185185177,0.007714744166664289
TbNiBC,mp-1079626,0.0,-0.5047774370833329,0.0
Li2FeF4,mp-849283,3.5932,-2.9007867591666665,0.019248846785713702
Ti2InNi2,mp-20339,0.0,-0.405546499666665,0.0
K2CdAu,mp-1096590,0.23849999999999993,0.3662420866731786,0.557117747317708
La2CdIr,mp-1095862,0.03489999999999993,1.5254241224999996,2.0830487899999985
Li4Cr2C4SO16,mp-1177627,0.8746999999999998,-2.0576174726234573,0.08985894212962897
LiP4(Br3O)4,mp-1235216,0.5519,-1.3219974000907033,0.07732823311507708
Zr3N,mp-1188048,0.0,0.4921990228125033,1.5502463675000016
IrN,mp-1009015,0.0,1.3465459575000054,1.3465459575000054
PrZnIn,mp-1018952,0.0,-0.4380891311111122,0.0
Na2MgMn4O8,mp-2226407,0.42879999999999985,-1.9732514052988506,0.19540169633333626
BaCu2(HgO2)2,mp-1147526,1.1949,-1.2337841027777787,0.05485181638888914
LiMn2F7,mp-763425,1.0465,-2.8518983156695406,0.01532275074999312
EuMn2O5,mp-542392,0.0,-2.3767465188577273,0.009978629388044169
Na9Mg2Ta10Si9(PO8)9,mp-2713101,3.0812000000000004,-3.0534657579057005,0.01722551640641079
Te2W2SeS,mp-1028771,0.0,-0.3555443582291626,0.07437094541666767
BaNdEuSbO6,mp-1518347,0.1501999999999999,-2.98049283825,0.10049190668750363
Mg30AlSnO32,mp-1038258,0.0,-2.911587551015624,0.09696340667968784
NaFe(SO4)2,mp-1102092,2.0944000000000003,-1.9482638519899413,0.0
Te3(Rh2N)2,mp-1246540,0.0,0.036632405972221074,0.2906674943055556
Tb3Ho,mp-1187285,0.0,0.0399473487499975,0.04589434500000067
SNO4,mp-1201009,0.0,-0.06279123041666661,1.1594802851388861
RbNaMg6O7,mp-1030980,0.0,-2.2497010740919534,0.435800654083331
LiNd(SO4)2,mp-1211135,5.3668,-2.396218520069443,0.13094275593749938
TiNiO3,mp-698587,1.7081999999999997,-2.5741232221666666,0.020012813999999324
Ca2Al4(Si2O7)3,mp-1194616,0.31529999999999997,-3.1719609750757574,0.13160458346418835
BH4NF4,mp-720391,7.481199999999999,-1.9707657491666672,0.0
MgSi,mp-1073777,0.0,0.040450323333333316,0.1218993958333332
La11(Ni2Ge3)2,mp-627405,0.0,-0.6815652526190485,0.0
FeB2C6(O3F4)2,mp-555698,4.623200000000001,-1.8002736299275368,0.31215618163043146
Sc7NCl12,mp-29579,0.0,-2.321311562500001,0.000513077535708284
LiEr(PO3)4,mp-555303,5.749499999999999,-2.852630637050264,0.0802601195370487
CeZr3O8,mp-1226490,2.1872000000000003,-3.7225281558333356,0.058063174583331545
HoFeCu,mp-1223889,0.0,-0.06681248166666502,0.11751062870370355
Nb2Zn2SiS5O24,mp-2713017,1.1399000000000001,-2.1444859147794118,0.03917069156862851
HoAl3(H3C)12,mp-1197331,4.0129,-0.17110168817307697,0.09437082438301214
LiVBO4,mp-768922,0.0,-2.550690163452381,0.10285438154760129
LiMn3(PO4)3,mp-768447,0.0,-2.4782224626871034,0.03160888513158966
SiNi3W2,mp-1219226,0.0,-0.2846306174999995,0.0045038366666609875
Nd4Sb3,mp-530,0.0,-1.2465876164285703,0.014205981785714528
BaMgHg2,mp-1096735,0.1452,0.7486805599999967,1.137084204749999
